time,longitude,latitude,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature,pco2_temperature,pco2_air_temperature,air_temperature,inlet_temperature_frozen_test,pco2_temperature_global_range_test,pco2_water_temperature,rtqc_temperature_difference_test,pco2_water_temperature_frozen_test,pco2_temperature_frozen_test,ctd_temperature_frozen_test,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,pco2_air_temperature_global_range_test,oxygen_temperature,inlet_temperature,inlet_temperature_global_range_test,water_temperature,ctd_temperature_global_range_test,pco2_water_temperature_global_range_test,pco2_air_temperature_frozen_test,ctd_temperature,pco2_air_temperature_frozen_test,pco2_temperature_global_range_test,temperature,oxygen_temperature_global_range_test
2018-01-16 10:53:25,17.9704,69.3097,1.0,1,4.898453894529627,4.89845389452963,12.373342451831235,12.6,1.0,1,8.86226795204575,1,-0.3333333333333333,1.0,1.0,12.373342451831235,-0.3333333333333333,8.862267952045746,1,1,1,5.694914688741757,4.8972230700019965,1,9.08333333333333,1,1,-1,5.459622716122307,-1.0,1,5.379233333333329,1
2018-01-16 20:53:55,20.7955,70.0451,1.0,1,5.492822250335735,5.49282225033574,12.42318517086765,12.6,1.0,1,9.11540472947065,1,0.0,1.0,1.0,12.42318517086765,0.0,9.115404729470644,1,1,1,6.24187047167874,5.491926919861545,1,9.08333333333333,1,1,-1,6.026984578041125,-1.0,1,5.37923333333333,1
2018-01-17 06:54:26,24.3865,70.9787,1.0,1,5.1937025646907955,5.1937025646907955,12.08472291567195,12.3,1.0,1,8.764321438456069,1,0.0,1.0,1.0,12.08472291567195,0.0,8.764321438456069,1,1,1,5.9548514931226695,5.192679955598511,1,8.975000000000001,1,1,-1,5.735930519371379,-1.0,1,5.121416666666665,1
2018-01-17 16:54:56,27.1849,71.026,1.0,1,4.40990313890823,4.40990313890823,11.537429455760751,12.0,1.0,1,8.241316082777535,1,1.0,1.0,1.0,11.537429455760751,1.0,8.241316082777535,1,1,1,5.24383964459488,4.408539748019655,1,8.86666666666667,1,1,-1,5.004540935053949,-1.0,1,4.8636,1
2018-01-18 02:55:26,31.1161,70.3151,1.0,1,4.1382918956732695,4.1382918956732695,11.4230193549574,11.521428571428551,1.0,1,8.078452682893785,1,1.0,1.0,1.0,11.4230193549574,1.0,8.078452682893785,1,1,1,4.945145701796985,4.136754263126655,1,8.540476190476191,1,1,-1,4.70684017322325,-1.0,1,4.70672142857143,1
2018-01-18 12:55:58,30.471,70.024,1.0,1,4.8586898606893545,4.8586898606893545,11.66161223341,11.0428571428571,1.0,1,8.495432973992266,1,1.0,1.0,1.0,11.66161223341,1.0,8.49543297399226,1,1,1,5.55651515626797,4.85795279285214,1,8.21428571428571,1,1,-1,5.352184962409945,-1.0,1,4.54984285714286,1
2018-01-18 22:56:26,28.2772,71.1161,0.0,1,5.385730702748756,5.385730702748756,12.0464094363501,11.0428571428571,0.0,1,8.937865649524515,1,0.0,0.0,0.0,12.0464094363501,0.0,8.937865649524506,0,1,1,6.09670575761128,5.385266234907984,1,8.21428571428571,1,1,-1,5.89427528745431,-1.0,1,4.54984285714286,1
2018-01-19 08:56:54,23.6961,70.7716,-1.0,1,4.957843326460285,4.957843326460285,11.9106487724104,11.0428571428571,-1.0,1,8.56208502488998,1,-1.0,-1.0,-1.0,11.9106487724104,-1.0,8.562085024889981,-1,1,1,5.729987675801075,4.957047883137594,1,8.21428571428571,1,1,-1,5.506976475279105,-1.0,1,4.54984285714286,1
2018-01-19 18:57:24,21.014,70.0629,0.0,1,4.64985630159275,4.64985630159275,11.484211882461,11.0428571428571,0.0,1,8.114586997242025,1,0.0,0.0,0.0,11.48421188246095,0.0,8.11458699724203,0,1,1,5.41706148760331,4.649896760330575,1,8.21428571428571,1,1,-1,5.190982666666665,-1.0,1,4.54984285714286,1
2018-01-20 04:57:54,17.5206,69.1076,1.0,1,5.00354396240105,5.00354396240105,11.9994157803487,12.97142857142855,1.0,1,8.743168509953625,1,1.0,1.0,1.0,11.999415780348649,1.0,8.74316850995363,1,1,1,5.731662988505745,5.0040051839080455,1,10.273809523809504,1,1,-1,5.514782954022991,-1.0,1,4.678154761904764,1
2018-01-20 14:58:24,15.1968,68.492,1.0,1,5.083662466008235,5.083662466008235,12.176813251573499,14.9,1.0,1,8.99506023406514,1,0.0,1.0,1.0,12.176813251573499,0.0,8.995060234065145,1,1,1,5.82443678160919,5.083125,1,12.3333333333333,1,1,-1,5.61206695402299,-1.0,1,4.80646666666667,1
2018-01-21 00:58:55,14.3782,67.3111,0.0,1,5.197026244425304,5.197026244425304,11.9953200283051,14.9,0.0,1,8.874683383167755,1,-1.0,0.0,0.0,11.9953200283051,-1.0,8.874683383167755,0,1,1,5.91861014013541,5.197209825224375,1,12.3333333333333,1,1,-1,5.71336301369863,-1.0,1,4.80646666666667,1
2018-01-21 10:59:27,12.6982,66.0883,0.0,1,5.59830757676687,5.59830757676687,12.35507235720705,14.9,0.0,1,9.29832647960817,1,-1.0,0.0,0.0,12.35507235720705,-1.0,9.29832647960817,0,1,1,6.295903476126375,5.599457616068835,1,12.3333333333333,1,1,-1,6.09770906379497,-1.0,1,4.80646666666667,1
