time,longitude,latitude,pco2_air_temperature_global_range_test,pco2_temperature_frozen_test,pco2_temperature_global_range_test,inlet_temperature_frozen_test,ctd_temperature_global_range_test,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,water_temperature,ctd_temperature,ctd_temperature_frozen_test,oxygen_temperature_global_range_test,pco2_water_temperature_frozen_test,pco2_water_temperature_global_range_test,air_temperature,pco2_air_temperature,inlet_temperature_global_range_test,pco2_water_temperature,oxygen_temperature,pco2_air_temperature_frozen_test,pco2_temperature,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,temperature,pco2_air_temperature_frozen_test,inlet_temperature,rtqc_temperature_difference_test,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature_global_range_test,pco2_temperature
2018-01-16 10:46:24,17.9747,69.2809,1,1.0,1,1.0,1,1,1,9.08333333333333,5.46125650121981,1.0,1,-0.3333333333333333,1,12.6,12.3850674316573,1,8.86512740954721,5.698271277445751,-1.0,4.896786941650997,12.3850674316573,-0.3333333333333333,8.865127409547206,5.379233333333329,-1,4.8954784215965175,1,1.0,1,1,4.896786941650993
2018-01-16 20:46:54,20.72,70.0344,1,1.0,1,1.0,1,1,1,9.08333333333333,6.026984578041125,1.0,1,0.0,1,12.6,12.42318517086765,1,9.11540472947065,6.24187047167874,-1.0,5.49282225033574,12.42318517086765,0.0,9.115404729470644,5.37923333333333,-1,5.491926919861545,1,1.0,1,1,5.492822250335735
2018-01-17 06:47:25,24.3288,70.9612,1,1.0,1,1.0,1,1,1,8.975000000000001,5.735930519371375,1.0,1,0.0,1,12.3,12.08472291567195,1,8.764321438456069,5.9548514931226695,-1.0,5.1937025646907955,12.08472291567195,0.0,8.764321438456069,5.121416666666665,-1,5.192679955598511,1,1.0,1,1,5.1937025646907955
2018-01-17 16:47:55,27.203,70.9994,1,1.0,1,1.0,1,1,1,8.86666666666667,5.004540935053949,1.0,1,1.0,1,12.0,11.537429455760751,1,8.24131608277753,5.24383964459488,-1.0,4.40990313890823,11.537429455760751,1.0,8.24131608277753,4.8636,-1,4.40853974801965,1,1.0,1,1,4.40990313890823
2018-01-18 02:48:25,31.1402,70.3432,1,1.0,1,1.0,1,1,1,8.540476190476191,4.70684017322325,1.0,1,1.0,1,11.521428571428551,11.4230193549574,1,8.078452682893776,4.945145701796985,-1.0,4.1382918956732695,11.4230193549574,1.0,8.078452682893776,4.70672142857143,-1,4.13675426312665,1,1.0,1,1,4.1382918956732695
2018-01-18 12:48:57,30.4162,70.0006,1,1.0,1,1.0,1,1,1,8.21428571428571,5.352184962409945,1.0,1,1.0,1,11.0428571428571,11.66161223341,1,8.495432973992255,5.55651515626797,-1.0,4.8586898606893545,11.66161223341,1.0,8.495432973992258,4.54984285714286,-1,4.85795279285214,1,1.0,1,1,4.8586898606893545
2018-01-18 22:49:25,28.3419,71.0995,1,0.0,1,0.0,1,0,1,8.21428571428571,5.89427528745431,0.0,1,0.0,1,11.0428571428571,12.04640943635015,1,8.937865649524506,6.09670575761128,-1.0,5.385730702748756,12.04640943635015,0.0,8.937865649524511,4.54984285714286,-1,5.385266234907984,1,0.0,1,1,5.385730702748756
2018-01-19 08:49:53,23.7588,70.7907,1,-1.0,1,-1.0,1,-1,1,8.21428571428571,5.506976475279105,-1.0,1,-1.0,1,11.0428571428571,11.91064877241045,1,8.562085024889981,5.729987675801075,-1.0,4.957843326460285,11.91064877241045,-1.0,8.562085024889976,4.54984285714286,-1,4.957047883137594,1,-1.0,1,1,4.957843326460285
2018-01-19 18:50:23,21.0204,70.0352,1,0.0,1,0.0,1,0,1,8.21428571428571,5.190982666666665,0.0,1,0.0,1,11.0428571428571,11.484211882461,1,8.114586997242036,5.417061487603306,-1.0,4.64985630159275,11.484211882461,0.0,8.114586997242025,4.54984285714286,-1,4.649896760330575,1,0.0,1,1,4.64985630159275
2018-01-20 04:50:53,17.6013,69.1188,1,1.0,1,1.0,1,1,1,10.273809523809504,5.514782954022985,1.0,1,1.0,1,12.97142857142855,11.9994157803487,1,8.743168509953634,5.73166298850574,-1.0,5.00354396240105,11.9994157803487,1.0,8.74316850995363,4.678154761904764,-1,5.0040051839080455,1,1.0,1,1,5.00354396240105
